Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,ShipType_Code,ShipType_Label,ShipType_Level,ShipType_Hidden,ShipType_Expand,ShipType_Note,ShipType_Order,M5011_Value,M5011_Footnote_Code,M5011_Footnote_Text,M5011_MissingValue_Code,M5011_MissingValue_Label,M2300_Value,M2300_Footnote_Code,M2300_Footnote_Text,M2300_MissingValue_Code,M2300_MissingValue_Label,M5041_Value,M5041_Footnote_Code,M5041_Footnote_Text,M5041_MissingValue_Code,M5041_MissingValue_Label,M6900_Value,M6900_Footnote_Code,M6900_Footnote_Text,M6900_MissingValue_Code,M6900_MissingValue_Label,M7000_Value,M7000_Footnote_Code,M7000_Footnote_Text,M7000_MissingValue_Code,M7000_MissingValue_Label,M3762_Value,M3762_Footnote_Code,M3762_Footnote_Text,M3762_MissingValue_Code,M3762_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,2001,5,"Other types of ships",1,False,True,,6,0.024794147321106144,0,,,,17000,0,,,,24.285714285714285,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2002,0,"Total fleet",0,False,True,,1,0.007907432442586331,0,,,,65000,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2002,1,"Oil tankers",1,False,True,,2,0.001748242945909643,0,,,,5000,0,,,,7.6923076923076925,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2002,3,"General cargo",1,False,True,,4,0.043890271937541386,0,,,,42000,0,,,,64.61538461538461,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2002,5,"Other types of ships",1,False,True,,6,0.02638979548832139,0,,,,18000,0,,,,27.692307692307693,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2003,0,"Total fleet",0,False,True,,1,0.006058914136733903,0,,,,51000,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2003,1,"Oil tankers",1,False,True,,2,0.0016197841734775893,0,,,,5000,0,,,,9.803921568627452,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2003,3,"General cargo",1,False,True,,4,0.029028476904741612,0,,,,28000,0,,,,54.90196078431373,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2003,5,"Other types of ships",1,False,True,,6,0.03148323667192594,0,,,,18000,0,,,,35.294117647058826,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2004,0,"Total fleet",0,False,True,,1,0.0037206450237299094,0,,,,32134,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2004,1,"Oil tankers",1,False,True,,2,0.0006976283374647256,0,,,,2237,0,,,,6.96147382834381,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
