Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Component_Code,Component_Label,Component_Level,Component_Hidden,Component_Expand,Component_Note,Component_Order,Year,M5025_Value,M5025_Footnote_Code,M5025_Footnote_Text,M5025_MissingValue_Code,M5025_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label,M0951_Value,M0951_Footnote_Code,M0951_Footnote_Text,M0951_MissingValue_Code,M0951_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2019,61.718388484380185,0,,,,58429558063.71159,0,,,,43319563634.56596,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2018,62.22444080173241,0,,,,71053580235.36531,0,,,,47664295871.46948,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2017,65.56692877913744,0,,,,91685284305.57703,0,,,,46212435569.07507,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2016,67.56294214659592,0,,,,77537724298.01205,0,,,,40440989270.51433,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2015,73.5729078594873,0,,,,96866858637.97177,0,,,,41456377884.217606,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2014,66.67801075655699,0,,,,109650872007.37814,0,,,,46081170850.56068,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2013,59.89139647925648,0,,,,92089692686.5324,0,,,,45211154431.62295,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2012,53.91679572202144,0,,,,77409910922.40692,0,,,,40172785026.36781,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2011,53.42963392505694,0,,,,67081778809.524704,0,,,,37788734018.55308,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2010,53.44519807799904,0,,,,51065240331.16975,0,,,,32672867444.87201,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2009,58.35174747248654,0,,,,47676397826.589584,0,,,,31305463731.865562,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2008,47.571680086197425,0,,,,46996268633.09738,0,,,,29987745990.01408,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2007,47.932292903477816,0,,,,35008702850.32029,0,,,,27680486020.18234,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2006,46.78940541962613,0,,,,27443698742.38555,0,,,,25661469563.900864,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2005,49.88093201701326,0,,,,20649028130.692368,0,,,,24444819701.463753,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2004,55.59435036966727,0,,,,15009350514.387407,0,,,,22076637278.784344,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2003,65.74483897726255,0,,,,13373899401.646837,0,,,,21799566223.48258,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2002,61.80157710080193,0,,,,10698787785.187038,0,,,,20793775280.14576,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2001,85.82178700302217,0,,,,11517649100.815716,0,,,,19835500449.387924,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2000,75.04800746455302,0,,,,10204845448.731972,0,,,,14674047427.776648,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1999,77.98619580170998,0,,,,7087800063.030658,0,,,,18750553577.224533,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1998,80.08028702102776,0,,,,7560666667.57038,0,,,,16157141403.653875,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1997,75.13735668913141,0,,,,8348922647.818934,0,,,,15872280083.603535,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1996,53.04690212098237,0,,,,4987646007.745657,0,,,,8604813380.437325,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1995,73.9739913107662,0,,,,5250746369.507643,0,,,,11804958126.694956,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1994,72.59397451309862,0,,,,10663782239.771486,0,,,,10472775852.521336,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1993,88.37900998512855,0,,,,12510494329.929234,0,,,,9588650404.249739,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1992,99.44569903510572,0,,,,19266821345.707706,0,,,,12481641797.534235,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1991,87.63557483731019,0,,,,14664690402.00854,0,,,,13929782696.044933,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1990,73.6106577240103,0,,,,10310051474.029013,0,,,,17441627058.155987,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1989,77.2914551431466,0,,,,9718640951.93529,0,,,,17549226592.303394,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1988,78.48290928531581,0,,,,8410259041.379772,0,,,,16720848447.4622,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1987,74.9531452924448,0,,,,7378221472.023531,0,,,,16282165387.810432,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1986,84.65146098734395,0,,,,7236441941.306237,0,,,,16392001738.573183,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1985,77.96738200599793,0,,,,7102068320.074872,0,,,,17209347156.08501,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1984,74.6235937219501,0,,,,5517372150.544823,0,,,,15518547394.124483,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1983,78.21226118822895,0,,,,5455316197.606792,0,,,,14473579289.390057,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1982,77.14817528757372,0,,,,5163540677.852798,0,,,,13705189787.806261,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1981,74.2765155447899,0,,,,4971339995.9890375,0,,,,13167761139.82136,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1980,72.93346477123993,0,,,,5215663480.179156,0,,,,12830926124.080822,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1979,75.43880292356981,0,,,,4058724847.9176416,0,,,,12781818809.851347,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1978,75.60183992066615,0,,,,3663273280.2994857,0,,,,12816451781.580082,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1977,75.07975654786948,0,,,,3261633464.8037972,0,,,,13445951957.558907,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1976,74.66607599141925,0,,,,2972386999.697227,0,,,,13283836950.378328,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1975,74.74398910847329,0,,,,3099956928.0078125,0,,,,14026708576.522924,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1974,75.10609573905465,0,,,,4226190450.029706,0,,,,14811619469.809105,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1973,75.03955165118336,0,,,,3764191327.4609194,0,,,,14363970435.33719,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1972,74.9270983339195,0,,,,3073625424.9326735,0,,,,13269912306.917643,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1971,74.8965628221693,0,,,,3001438750.925823,0,,,,13239478602.685606,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,1970,74.94265671994602,0,,,,2853053490.449469,0,,,,12495999438.572622,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1970,46.54088523562408,0,,,,1771803147.6560266,0,,,,9171771516.710428,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1971,46.556311843119815,0,,,,1865718708.5862498,0,,,,9725299465.960323,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1972,46.541058003873495,0,,,,1909186160.479048,0,,,,9741558083.652386,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1973,46.56004520049303,0,,,,2335580563.7615433,0,,,,10534919778.096699,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1974,46.37382449740175,0,,,,2609436854.542317,0,,,,10818060563.918005,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1975,46.67319833667937,0,,,,1935739666.3174598,0,,,,10343504323.850847,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1976,46.633420381561734,0,,,,1856433067.5352404,0,,,,9797285093.744577,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1977,46.46480601908802,0,,,,2018535664.148673,0,,,,9839955995.857973,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1978,46.65496562254945,0,,,,2260657797.9811487,0,,,,9356573702.986998,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1979,45.442714990834254,0,,,,2444888695.768434,0,,,,9140798913.42283,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1980,48.17008735672626,0,,,,3444769369.610268,0,,,,9921956418.39904,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1981,46.434531190782494,0,,,,3107871181.228692,0,,,,10078859065.598385,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1982,45.62174839814825,0,,,,3053471488.735878,0,,,,10106959828.496593,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1983,47.60574485714793,0,,,,3320507386.8574104,0,,,,10883870795.7284,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1984,39.38144990766577,0,,,,2911708001.8717833,0,,,,10957905047.577065,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1985,46.97176367819017,0,,,,4278669697.1722713,0,,,,13313540421.724262,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1986,48.86621323172337,0,,,,4177335049.1343007,0,,,,12065160570.432652,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1987,41.98938657174437,0,,,,4133342135.1694636,0,,,,11703027449.218155,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1988,45.420906795939956,0,,,,4867322013.503577,0,,,,11760555598.870117,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1989,48.15089312047427,0,,,,6054501637.810015,0,,,,12941462916.476269,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1990,44.72106314351817,0,,,,6263718831.4726925,0,,,,12694874925.841171,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1991,37.09327548806941,0,,,,6207084303.820446,0,,,,7811560844.508009,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1992,56.82611373434613,0,,,,11009612197.547262,0,,,,6430516421.09564,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1993,38.793286594433816,0,,,,5491385251.550668,0,,,,5912774127.532042,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1994,28.857550388731866,0,,,,4239065781.735697,0,,,,6172571877.173432,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1995,51.60276166682522,0,,,,3662814574.11662,0,,,,6765507275.299014,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1996,18.77476887731024,0,,,,1765266156.8002174,0,,,,6492817316.249974,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1997,53.0413127411583,0,,,,5893710355.647365,0,,,,9185820444.008343,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1998,27.029178862364045,0,,,,2551921568.697831,0,,,,12946833448.429308,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,1999,58.37443316329968,0,,,,5305378814.812535,0,,,,11057932529.346373,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,2000,39.19034023191565,0,,,,5329007107.068353,0,,,,8721585565.871206,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,2001,50.09184227655636,0,,,,6722538440.436639,0,,,,15358481339.203463,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,2002,41.39987634871976,0,,,,7166944796.012159,0,,,,15325892436.302027,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,02,"Household consumption expenditure (including NPISH)",2,False,True,,3,2003,42.63161174450072,0,,,,8672177096.641787,0,,,,16131195963.249813,0,,,
