Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,Direction_Code,Direction_Label,Direction_Hidden,Direction_Note,Direction_Order,Flow_Code,Flow_Label,Flow_Hidden,Flow_Note,Flow_Order,M5011_Value,M5011_Footnote_Code,M5011_Footnote_Text,M5011_MissingValue_Code,M5011_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,2003,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.0020416238960894876,0,,,,187564000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2004,1,"Inward",False,,1,08,"Flow",False,,1,0.31423332672583465,0,,,,2197227820,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2004,2,"Outward",False,,2,08,"Flow",False,,1,0.08625266634082095,0,,,,783236000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2004,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.1667898438646666,0,,,,17640336600,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2004,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.008924667441844768,0,,,,970800000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2005,1,"Inward",False,,1,08,"Flow",False,,1,-0.13666014973413343,0,,,,-1303836930,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2005,2,"Outward",False,,2,08,"Flow",False,,1,0.026168700839973177,0,,,,219362060,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2005,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.1425791941255737,0,,,,16336499700,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2005,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.00999372726214984,0,,,,1190162000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2006,1,"Inward",False,,1,08,"Flow",False,,1,-0.0026921128257605897,0,,,,-37714860,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2006,2,"Outward",False,,2,08,"Flow",False,,1,0.014004231697101742,0,,,,190585090,0,,,
