AnoMes,Valor,ID,Id,Modified,Created,AuthorId,Visualizar,Codigo,ContentTypeId,GUID,EditorId,Attachments,Idioma,odata.type,ServerRedirectedEmbedUrl,FileSystemObjectType,odata.id,odata.editLink,odata.etag,OData__UIVersionString
2018-09,19.21,105,105,2023-01-26T09:41:27Z,2022-01-17T13:31:50Z,1073741823,True,33.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,686c7cf4-fe0d-4223-a137-3902c4aed7f2,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,f77dcd7a-aba9-44f3-9c15-16ff37c3dcd4,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(105),"""2""",1.0
2018-10,18.04,106,106,2023-01-26T09:41:27Z,2022-01-17T13:31:50Z,1073741823,True,34.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,6ecc294d-2834-49e9-a3b2-e45ace114f00,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,902c1c2d-726d-48e4-971b-0bd89dd3b001,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(106),"""2""",1.0
2018-11,18.35,107,107,2023-01-26T09:41:27Z,2022-01-17T13:31:50Z,1073741823,True,35.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,87693bdd-903b-451f-af4e-380bbad3910e,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,82e5986f-6472-4b4d-a87a-5e1a9ce24ad5,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(107),"""2""",1.0
2018-12,18.6,108,108,2023-01-26T09:41:27Z,2022-01-17T13:31:50Z,1073741823,True,36.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,facfc26b-e4b6-486a-9dac-8ae1b1f70fb6,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,07894407-aaa6-440f-b8fd-272f07d036f9,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(108),"""2""",1.0
2019-01,18.22,109,109,2023-01-26T09:41:27Z,2022-01-17T13:31:51Z,1073741823,True,37.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,c66e79b3-cc63-4f36-9804-2b2acf565eba,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,308dea4b-8f7c-4390-bacd-bf2b1018aa9a,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(109),"""2""",1.0
2019-02,17.96,110,110,2023-01-26T09:41:27Z,2022-01-17T13:31:51Z,1073741823,True,38.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,eb6fc4f9-a91b-4adf-8ac1-f25fbc2237d9,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,e57a1d06-173e-4017-bbc5-fa90dcb6e53a,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(110),"""2""",1.0
2019-03,17.56,111,111,2023-01-26T09:41:27Z,2022-01-17T13:31:51Z,1073741823,True,39.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,b109f04b-880a-4e85-8b9f-34fee6938872,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,bf8dbd65-90a5-471b-be97-9b007d606fc4,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(111),"""2""",1.0
2019-04,17.36,112,112,2023-01-26T09:41:27Z,2022-01-17T13:31:51Z,1073741823,True,40.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,a84550ce-dbce-4fa9-9683-8163bd2b7434,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,cfaee244-0c9f-4a00-8bf3-6043dae052da,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(112),"""2""",1.0
2019-05,17.14,113,113,2023-01-26T09:41:27Z,2022-01-17T13:31:52Z,1073741823,True,41.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,4294267d-2bc6-4465-a8f2-465dbdeef85d,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,55664000-159c-4bd3-97a2-63e03f97c76a,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(113),"""2""",1.0
2019-06,16.94,114,114,2023-01-26T09:41:27Z,2022-01-17T13:31:52Z,1073741823,True,42.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,3e6cf828-75a4-4a3f-8644-9fbf2859f239,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,f271878a-7785-4a0d-96b6-a91b4481298e,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(114),"""2""",1.0
2019-07,17.24,115,115,2023-01-26T09:41:27Z,2022-01-17T13:31:52Z,1073741823,True,43.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,8c820399-c17f-4afa-8b52-9ac2056799cb,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,803f073e-e19e-43a0-bc06-491c7a2788ee,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(115),"""2""",1.0
2019-08,17.5,116,116,2023-01-26T09:41:27Z,2022-01-17T13:31:52Z,1073741823,True,44.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,848f6834-0354-4acf-bd68-bf9d52a6e57a,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,625df9c8-814d-456b-8b9e-de01f71e315b,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(116),"""2""",1.0
2019-09,16.08,117,117,2023-01-26T09:41:27Z,2022-01-17T13:31:53Z,1073741823,True,45.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,c9a026f4-202d-4932-9760-b8bc802baf0e,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,8df0a0f1-a82a-4460-91e8-bda140c028e2,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(117),"""2""",1.0
2019-10,16.08,118,118,2023-01-26T09:41:28Z,2022-01-17T13:31:53Z,1073741823,True,46.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,a6044c2f-9794-44df-8a03-939291f7ff5e,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,b8cce554-05f7-4212-aa4c-c585e41425a1,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(118),"""2""",1.0
2019-11,16.32,119,119,2023-01-26T09:41:28Z,2022-01-17T13:31:54Z,1073741823,True,47.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,422cca28-24e8-4ff7-b472-00ca84a24cd2,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,4dc43e4c-3fbb-44b0-89d3-b331b68a81aa,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(119),"""2""",1.0
2019-12,16.9,120,120,2023-01-26T09:41:28Z,2022-01-17T13:31:54Z,1073741823,True,48.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,3eb8bd21-f1fd-47aa-80e0-491b4ffd31bb,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,0aaffbcd-12ad-4ab2-ab51-f84fe0e47315,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(120),"""2""",1.0
2020-01,17.95,121,121,2023-01-26T09:41:28Z,2022-01-17T13:31:56Z,1073741823,True,49.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,e7ab76fe-03f3-4800-8f84-675475124d9e,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,cdec27b8-7ddb-4acf-98a2-508a82fca051,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(121),"""2""",1.0
2020-02,18.74,122,122,2023-01-26T09:41:28Z,2022-01-17T13:31:57Z,1073741823,True,50.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,faa3308f-d638-4403-a988-9e4be7cfcdda,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,b6f48496-8a84-4ce1-97b7-f021bdd3acd3,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(122),"""2""",1.0
2020-03,19.62,123,123,2023-01-26T09:41:28Z,2022-01-17T13:31:57Z,1073741823,True,51.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,67060723-998e-45fa-bf14-bda3c9c35144,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,dd1f0c06-4903-4338-9111-8af5db49dc92,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(123),"""2""",1.0
2020-04,20.81,124,124,2023-01-26T09:41:28Z,2022-01-17T13:31:57Z,1073741823,True,52.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,4610d88d-4cd2-4f70-9314-10f863fcef5d,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,d6f7a586-90e4-4315-9979-510763716e38,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(124),"""2""",1.0
2020-05,21.82,125,125,2023-01-26T09:41:28Z,2022-01-17T13:31:57Z,1073741823,True,53.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,a7b5b208-e6d6-48cc-b04c-4a7f9f355d43,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,a446faca-2f8e-44d7-855a-7488ace6acaf,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(125),"""2""",1.0
2020-06,22.62,126,126,2023-01-26T09:41:28Z,2022-01-17T13:31:58Z,1073741823,True,54.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,09f16cdd-928b-4d30-85aa-a37b0dc7950c,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,9d306b23-4d65-4f05-984c-11e983a51eff,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(126),"""2""",1.0
2020-07,22.93,127,127,2023-01-26T09:41:28Z,2022-01-17T13:31:58Z,1073741823,True,55.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,c50b7c02-0f5b-416b-995d-7a3df3702c08,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,9c7c3621-b548-4cb6-a67f-2a0b003a1490,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(127),"""2""",1.0
2020-08,23.41,128,128,2023-01-26T09:41:28Z,2022-01-17T13:31:58Z,1073741823,True,56.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,f4a086ab-7d0f-4ac3-89e7-4da672aeefcd,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,ab9f84b3-1947-405c-852e-b1a7bc9eca76,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(128),"""2""",1.0
2020-09,23.82,129,129,2023-01-26T09:41:28Z,2022-01-17T13:31:58Z,1073741823,True,57.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,5cc49b8a-f3f9-432d-99cb-958a4d54a478,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,5c62602e-b197-4a7a-ace0-7f0b434c8399,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(129),"""2""",1.0
2020-10,24.34,130,130,2023-01-26T09:41:28Z,2022-01-17T13:31:59Z,1073741823,True,58.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,b6ff8a9a-311e-443f-941f-5573fa49e9fd,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,5a15001b-f3a1-4867-afbe-0c8faaa8fbcf,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(130),"""2""",1.0
